epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5658,1.29214,11.2325,0.68091,1.31863,1.62,0.99916,1,0.995,0.6823,0,0,0,0,1.2132,10.841,0.55928,1.40748,1.55928,0.000654321,0.000654321,0.000654321
2,74.4129,0.7963,9.98763,0.61444,0.51451,1.18554,0.99919,1,0.995,0.87875,0,0,0,0,0.6248,10.5021,0.32149,0.48321,1.03305,0.00105943,0.00105943,0.00105943
3,105.959,0.74458,9.10512,0.57485,0.47525,1.15697,0.99934,1,0.995,0.84176,0,0,0,0,0.68584,9.10845,0.33691,0.507,1.06107,0.00120054,0.00120054,0.00120054
4,138.308,0.66751,8.56557,0.54221,0.43677,1.09562,0.99947,1,0.995,0.9301,0,0,0,0,0.44067,8.1922,0.35211,0.35508,0.87115,0.000812,0.000812,0.000812
5,175.991,0.5562,8.12207,0.52541,0.38252,1.04974,0.99948,1,0.995,0.87234,0,0,0,0,0.65765,6.89052,0.33454,0.33492,0.96018,0.000416,0.000416,0.000416
