epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6131,0,0,0,6.50397,0,0,0,0,0,0,0,0,0,0,0,0,0.0485,0,0.000655914,0.000655914,0.000655914
2,31.2284,0,0,0,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0.01332,0,0.00125711,0.00125711,0.00125711
3,46.1511,0,0,0,0.01089,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0,0.00179231,0.00179231,0.00179231
4,61.2547,0,0,0,0.00355,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0,0.001703,0.001703,0.001703
5,76.4986,0,0,0,0.00145,0,0,0,0,0,0,0,0,0,0,0,0,0.00086,0,0.001604,0.001604,0.001604
6,92.104,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0.001505,0.001505,0.001505
7,107.842,0,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0.001406,0.001406,0.001406
