epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.213,1.16538,10.971,0.49649,1.58059,1.66016,0.99446,1,0.995,0.86815,0,0,0,0,0.50988,9.96599,0.30116,0.70485,0.93529,0.000654321,0.000654321,0.000654321
2,199.404,0.4817,9.14306,0.30994,0.3664,1.04189,0.99938,1,0.995,0.925,0,0,0,0,0.38115,11.4348,0.07045,0.3535,0.80878,0.00119021,0.00119021,0.00119021
3,221.729,0.42443,8.61738,0.25595,0.36054,1.01124,0.99947,1,0.995,0.89947,0,0,0,0,0.43116,9.63951,0.07437,0.44488,0.9309,0.0015941,0.0015941,0.0015941
4,244.247,0.40894,7.66177,0.20285,0.34242,0.97952,0.99951,1,0.995,0.99258,0,0,0,0,0.29054,7.38801,0.08252,0.30407,0.73689,0.001406,0.001406,0.001406
5,280.882,0.36793,7.20953,0.21507,0.31385,0.93166,0.99948,1,0.995,0.93013,0,0,0,0,0.2985,6.81183,0.08107,0.29428,0.75772,0.001208,0.001208,0.001208
6,315.519,0.3046,6.33174,0.19383,0.27043,0.90174,0.99934,1,0.995,0.99156,0.87705,0.63889,0.67145,0.0747,0.27113,5.65264,0.08517,0.27862,0.73772,0.00101,0.00101,0.00101
7,349.322,0.24612,5.65836,0.17456,0.24324,0.85803,1,1,0.995,0.995,0.00926,0.00926,0.00508,0.00051,0.20432,5.82202,0.07488,0.21082,0.69594,0.000812,0.000812,0.000812
8,382.57,0.20387,5.01437,0.19421,0.20667,0.84767,0.99953,1,0.995,0.99434,0.99953,1,0.995,0.21676,0.16635,4.88452,0.08356,0.19696,0.67449,0.000614,0.000614,0.000614
9,416.451,0.18788,4.61268,0.19972,0.19563,0.84365,0.99951,1,0.995,0.995,0.99951,1,0.995,0.27558,0.153,4.44382,0.08019,0.17245,0.67063,0.000416,0.000416,0.000416
10,449.83,0.1675,4.36011,0.17646,0.18148,0.82576,1,1,0.995,0.995,1,1,0.995,0.28994,0.12893,4.22753,0.07772,0.16218,0.66418,0.000218,0.000218,0.000218
