epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,392.88,0.31681,3.97706,0.46389,0.26694,0.90275,0.9995,1,0.995,0.995,0.9995,1,0.995,0.64279,0.18746,1.91348,0.36959,0.15976,0.67773,0.0014555,0.0014555,0.0014555
13,424.793,0.29778,3.5706,0.45396,0.25724,0.89272,0.9995,1,0.995,0.995,0.9995,1,0.995,0.66518,0.20772,1.57837,0.38898,0.1773,0.68789,0.001406,0.001406,0.001406
14,455.996,0.27459,3.22595,0.44812,0.25285,0.89846,0.9995,1,0.995,0.995,0.9995,1,0.995,0.72754,0.172,1.33651,0.36043,0.15717,0.67397,0.0013565,0.0013565,0.0013565
15,487.542,0.26528,2.9813,0.4407,0.23916,0.89433,0.99949,1,0.995,0.995,0.99949,1,0.995,0.47609,0.14222,1.81322,0.37084,0.15313,0.65704,0.001307,0.001307,0.001307
16,519.238,0.26538,2.82195,0.43161,0.246,0.88569,1,1,0.995,0.995,1,1,0.995,0.75284,0.15481,1.22663,0.34857,0.1686,0.66893,0.0012575,0.0012575,0.0012575
17,550.788,0.23904,2.72132,0.43322,0.24039,0.87721,0.99951,1,0.995,0.995,0.99951,1,0.995,0.85276,0.16066,1.05736,0.3811,0.16041,0.6733,0.001208,0.001208,0.001208
18,582.992,0.25464,2.81961,0.44889,0.24743,0.89193,0.99951,1,0.995,0.995,0.99951,1,0.995,0.79546,0.13804,1.11144,0.40379,0.14563,0.6552,0.0011585,0.0011585,0.0011585
19,616.628,0.23447,2.49796,0.43411,0.22599,0.87793,1,1,0.995,0.995,1,1,0.995,0.80508,0.142,1.12456,0.40759,0.16459,0.66965,0.001109,0.001109,0.001109
20,651.012,0.2263,2.42325,0.4311,0.21946,0.87043,0.99944,1,0.995,0.995,0.99944,1,0.995,0.75754,0.11664,1.20421,0.39166,0.14206,0.64919,0.0010595,0.0010595,0.0010595
21,685.999,0.22842,2.38443,0.41951,0.22375,0.87785,0.99951,1,0.995,0.995,0.99951,1,0.995,0.67242,0.17578,1.43941,0.39763,0.14553,0.68152,0.00101,0.00101,0.00101
22,721.35,0.21327,2.29215,0.42184,0.21565,0.88651,0.99952,1,0.995,0.995,0.99952,1,0.995,0.80381,0.09845,1.05069,0.40176,0.13046,0.64645,0.0009605,0.0009605,0.0009605
23,756.456,0.21136,2.09097,0.42364,0.21025,0.8707,0.99952,1,0.995,0.995,0.99952,1,0.995,0.82016,0.09052,1.00852,0.39403,0.1195,0.63731,0.000911,0.000911,0.000911
24,790.814,0.2047,2.00416,0.41246,0.2028,0.87016,0.99951,1,0.995,0.995,0.99951,1,0.995,0.77302,0.11113,1.07786,0.40063,0.12302,0.65125,0.0008615,0.0008615,0.0008615
25,824.242,0.20066,2.11917,0.41445,0.20532,0.86847,0.99951,1,0.995,0.995,0.99951,1,0.995,0.83403,0.11101,0.91678,0.39923,0.12494,0.64907,0.000812,0.000812,0.000812
26,857.658,0.19098,2.08783,0.41941,0.19862,0.8683,1,1,0.995,0.995,1,1,0.995,0.8282,0.10429,0.94222,0.41309,0.11489,0.65016,0.0007625,0.0007625,0.0007625
27,889.849,0.18856,1.99002,0.4133,0.19176,0.86133,1,1,0.995,0.995,1,1,0.995,0.85596,0.09787,0.87044,0.39997,0.10574,0.64,0.000713,0.000713,0.000713
28,921.383,0.18673,1.89656,0.40951,0.19011,0.86202,0.99951,1,0.995,0.995,0.99951,1,0.995,0.85232,0.11565,0.84739,0.41197,0.12045,0.64795,0.0006635,0.0006635,0.0006635
29,952.93,0.18207,1.78401,0.41654,0.18651,0.86595,0.99951,1,0.995,0.995,0.99951,1,0.995,0.85129,0.10209,0.86537,0.41028,0.10305,0.64005,0.000614,0.000614,0.000614
30,984.765,0.19457,1.80578,0.41224,0.19436,0.86475,1,1,0.995,0.995,1,1,0.995,0.8473,0.11466,0.87374,0.39919,0.10452,0.65475,0.0005645,0.0005645,0.0005645
31,1016.78,0.15656,1.13515,0.37055,0.17013,0.83415,0.99951,1,0.995,0.995,0.99951,1,0.995,0.68968,0.10703,1.1371,0.31345,0.11802,0.63984,0.000515,0.000515,0.000515
32,1048.42,0.14379,1.1296,0.30347,0.16064,0.81074,0.99952,1,0.995,0.995,0.99952,1,0.995,0.82824,0.10307,0.89262,0.23792,0.11933,0.6487,0.0004655,0.0004655,0.0004655
33,1080.36,0.14367,1.24683,0.25628,0.15312,0.81469,0.99952,1,0.995,0.995,0.99952,1,0.995,0.76464,0.11708,1.05447,0.19848,0.14491,0.6502,0.000416,0.000416,0.000416
34,1112.2,0.12928,0.84802,0.24027,0.14797,0.81096,1,1,0.995,0.995,1,1,0.995,0.86079,0.124,0.76783,0.16086,0.10395,0.64217,0.0003665,0.0003665,0.0003665
35,1143.9,0.12349,0.74005,0.2183,0.14112,0.82233,1,1,0.995,0.995,1,1,0.995,0.89655,0.08706,0.68167,0.13898,0.10418,0.63562,0.000317,0.000317,0.000317
36,1175.7,0.11646,0.69037,0.20367,0.13473,0.80258,0.99952,1,0.995,0.995,0.99952,1,0.995,0.87324,0.07882,0.69373,0.12522,0.10941,0.63165,0.0002675,0.0002675,0.0002675
37,1207.79,0.10591,0.64527,0.19296,0.12443,0.80707,1,1,0.995,0.995,1,1,0.995,0.91227,0.08029,0.67122,0.11525,0.0938,0.63856,0.000218,0.000218,0.000218
38,1240.02,0.10174,0.63414,0.18982,0.11943,0.79782,0.99953,1,0.995,0.995,0.99953,1,0.995,0.91371,0.08816,0.63606,0.10863,0.09163,0.63801,0.0001685,0.0001685,0.0001685
39,1272.56,0.09316,0.61607,0.18194,0.11137,0.79524,0.99953,1,0.995,0.995,0.99953,1,0.995,0.8955,0.0688,0.63342,0.10544,0.08008,0.63257,0.000119,0.000119,0.000119
40,1304.69,0.08751,0.60865,0.17191,0.10404,0.79794,0.99953,1,0.995,0.995,0.99953,1,0.995,0.90294,0.07305,0.63041,0.10285,0.07689,0.62962,6.95e-05,6.95e-05,6.95e-05
