epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.101,1.09611,11.3059,0.66474,1.28662,1.44989,0.99924,1,0.995,0.81436,0,0,0,0,0.82782,10.812,0.55477,1.1053,1.28942,0.000654321,0.000654321,0.000654321
2,64.5782,0.56954,10.163,0.58529,0.45436,1.04241,0.99382,1,0.995,0.9518,0,0,0,0,0.35095,9.7055,0.39769,0.62382,0.85425,0.00128829,0.00128829,0.00128829
3,101.094,0.50825,9.5527,0.53898,0.42173,0.99739,0.9994,1,0.995,0.93487,0,0,0,0,0.40004,9.24542,0.29653,0.37788,0.86458,0.00188927,0.00188927,0.00188927
4,135.04,0.49965,8.62097,0.50453,0.40658,0.97643,0.99721,1,0.995,0.95144,0,0,0,0,0.35715,8.37281,0.33239,0.88793,0.7906,0.0018515,0.0018515,0.0018515
5,167.988,0.42072,7.74524,0.48033,0.35115,0.95039,0.99947,1,0.995,0.98418,0,0,0,0,0.24469,6.80003,0.28767,0.22792,0.73152,0.001802,0.001802,0.001802
6,201.281,0.37308,6.57002,0.47288,0.32613,0.94042,0.9995,1,0.995,0.98687,0,0,0,0,0.25138,6.94666,0.29496,0.23398,0.76145,0.0017525,0.0017525,0.0017525
7,233.683,0.34869,6.19455,0.46306,0.31375,0.92773,0.9995,1,0.995,0.99499,0.68484,0.68519,0.62795,0.09896,0.18011,4.83922,0.33019,0.22193,0.66851,0.001703,0.001703,0.001703
8,265.535,0.34317,5.72413,0.47345,0.3127,0.92173,0.99951,1,0.995,0.995,0.99951,1,0.995,0.44289,0.18622,3.14786,0.36342,0.21441,0.67564,0.0016535,0.0016535,0.0016535
9,297.43,0.32308,5.36798,0.48306,0.29262,0.91548,0.99949,1,0.995,0.98858,0.7312,0.73148,0.69234,0.2386,0.21736,3.4483,0.36231,0.20373,0.68547,0.001604,0.001604,0.001604
10,329.066,0.32389,4.83688,0.458,0.28301,0.91316,0.9995,1,0.995,0.98832,0.44422,0.44444,0.31283,0.03338,0.20499,4.46859,0.34499,0.20476,0.69156,0.0015545,0.0015545,0.0015545
11,360.941,0.29668,4.33431,0.44711,0.2703,0.90488,0.99951,1,0.995,0.995,0.99951,1,0.995,0.27537,0.11446,3.26422,0.36159,0.19981,0.66654,0.001505,0.001505,0.001505
