epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1828,1.77108,5.56877,0.71578,2.30359,1.79307,0.99222,1,0.995,0.3634,0.21087,0.21212,0.15612,0.01712,1.94717,5.36896,0.72948,1.79833,1.58836,0.000652778,0.000652778,0.000652778
2,27.2935,0.88767,3.30839,0.67823,0.73578,1.11066,0.99636,1,0.995,0.89554,0.99636,1,0.995,0.31937,0.57932,3.40935,0.76951,1.24343,0.7977,0.00130638,0.00130638,0.00130638
3,39.6899,0.84505,2.61392,0.67876,0.68452,1.10493,0.99911,1,0.995,0.93545,0.99911,1,0.995,0.34741,0.60948,2.83153,0.71405,0.73608,0.85909,0.00194679,0.00194679,0.00194679
4,52.6843,0.73459,2.166,0.64312,0.59917,1.01998,0.99912,1,0.995,0.81999,0.99912,1,0.995,0.11189,0.67552,2.43358,0.62341,0.77979,0.92935,0.0019406,0.0019406,0.0019406
5,66.5604,0.7291,1.49909,0.63029,0.54365,1.03307,0.99907,1,0.995,0.90547,0.99907,1,0.995,0.69654,0.51334,1.19244,0.56095,0.50185,0.73585,0.0019208,0.0019208,0.0019208
6,79.3018,0.63656,1.1476,0.57972,0.50048,0.98038,0.9992,1,0.995,0.89335,0.9992,1,0.995,0.77453,0.61745,0.86018,0.43206,0.41702,0.83879,0.001901,0.001901,0.001901
7,92.8209,0.58452,1.13737,0.57097,0.48448,0.97696,0.99921,1,0.995,0.89989,0.99921,1,0.995,0.79996,0.45958,0.82057,0.4479,0.39283,0.76889,0.0018812,0.0018812,0.0018812
8,105.851,0.51638,0.9535,0.55614,0.45505,0.9677,0.99921,1,0.995,0.995,0.99921,1,0.995,0.52568,0.312,1.356,0.51181,0.31414,0.69112,0.0018614,0.0018614,0.0018614
9,119.644,0.49883,0.89716,0.54811,0.43437,0.94998,0.99922,1,0.995,0.89998,0.99922,1,0.995,0.8955,0.22733,0.62935,0.46338,0.34251,0.61984,0.0018416,0.0018416,0.0018416
10,133.701,0.48157,0.7288,0.52795,0.42705,0.9383,0.99917,1,0.995,0.91304,0.99917,1,0.995,0.995,0.36656,0.22692,0.38763,0.38906,0.6776,0.0018218,0.0018218,0.0018218
11,147.002,0.46205,0.61171,0.50268,0.40139,0.92202,0.99921,1,0.995,0.92158,0.99921,1,0.995,0.97697,0.33981,0.3984,0.38396,0.29648,0.64236,0.001802,0.001802,0.001802
12,161.102,0.44248,0.61672,0.49807,0.39103,0.94441,0.99911,1,0.995,0.9646,0.99911,1,0.995,0.995,0.26672,0.39153,0.38308,0.31853,0.65307,0.0017822,0.0017822,0.0017822
13,174.646,0.43889,0.62586,0.47169,0.37575,0.91063,0.99919,1,0.995,0.995,0.99919,1,0.995,0.995,0.21193,0.22893,0.39319,0.32492,0.62382,0.0017624,0.0017624,0.0017624
14,188.836,0.41022,0.52547,0.46226,0.36311,0.89997,0.9992,1,0.995,0.995,0.9992,1,0.995,0.995,0.18115,0.2915,0.4006,0.18687,0.61361,0.0017426,0.0017426,0.0017426
15,202.434,0.39709,0.48391,0.4509,0.36498,0.89315,0.99922,1,0.995,0.995,0.99922,1,0.995,0.81505,0.23943,0.45511,0.41487,0.23742,0.60695,0.0017228,0.0017228,0.0017228
16,216.072,0.3889,0.45662,0.42654,0.35845,0.88506,0.9992,1,0.995,0.995,0.9992,1,0.995,0.995,0.2646,0.21546,0.39268,0.23031,0.61907,0.001703,0.001703,0.001703
17,230.271,0.34999,0.38715,0.40921,0.33927,0.89134,0.99922,1,0.995,0.995,0.99922,1,0.995,0.99328,0.26591,0.21719,0.36214,0.31256,0.61712,0.0016832,0.0016832,0.0016832
18,244.734,0.34454,0.54659,0.41468,0.33803,0.88275,0.99919,1,0.995,0.995,0.99919,1,0.995,0.995,0.2201,0.14879,0.35475,0.28849,0.61727,0.0016634,0.0016634,0.0016634
19,258.832,0.34275,0.4118,0.3932,0.31832,0.882,1,1,0.995,0.995,1,1,0.995,0.995,0.22936,0.1902,0.35707,0.20315,0.61853,0.0016436,0.0016436,0.0016436
20,272.325,0.33689,0.44542,0.37499,0.31269,0.87312,1,1,0.995,0.8955,1,1,0.995,0.995,0.32114,0.07391,0.31974,0.25885,0.66529,0.0016238,0.0016238,0.0016238
21,286.74,0.32109,0.32941,0.36266,0.30795,0.87827,0.99921,1,0.995,0.995,0.99921,1,0.995,0.995,0.22519,0.08281,0.31968,0.15548,0.60832,0.001604,0.001604,0.001604
22,300.409,0.29977,0.32588,0.34662,0.29548,0.86369,1,1,0.995,0.96341,1,1,0.995,0.995,0.40724,0.12058,0.33785,0.31326,0.65115,0.0015842,0.0015842,0.0015842
23,314.071,0.30854,0.35069,0.34615,0.29669,0.87278,1,1,0.995,0.89627,1,1,0.995,0.995,0.32728,0.09686,0.32471,0.33546,0.65902,0.0015644,0.0015644,0.0015644
24,328.987,0.27984,0.28347,0.35325,0.27908,0.86973,0.99922,1,0.995,0.90255,0.99922,1,0.995,0.995,0.37624,0.11346,0.28393,0.25941,0.63318,0.0015446,0.0015446,0.0015446
25,343.058,0.30073,0.38147,0.32496,0.30401,0.87448,1,1,0.995,0.995,1,1,0.995,0.995,0.22889,0.05622,0.29214,0.21758,0.60748,0.0015248,0.0015248,0.0015248
26,358.539,0.27766,0.32065,0.32694,0.2835,0.86934,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.26425,0.0719,0.30954,0.2113,0.62576,0.001505,0.001505,0.001505
27,371.944,0.28839,0.35402,0.31225,0.2838,0.88764,0.9992,1,0.995,0.995,0.9992,1,0.995,0.995,0.17031,0.10562,0.27245,0.22951,0.60567,0.0014852,0.0014852,0.0014852
28,386.359,0.26266,0.27653,0.32733,0.26947,0.87092,0.99919,1,0.995,0.995,0.99919,1,0.995,0.995,0.29557,0.11925,0.3052,0.22746,0.66208,0.0014654,0.0014654,0.0014654
29,399.656,0.25205,0.25327,0.29204,0.26132,0.85739,0.9992,1,0.995,0.995,0.9992,1,0.995,0.995,0.19834,0.08552,0.27571,0.21487,0.59153,0.0014456,0.0014456,0.0014456
30,413.233,0.2734,0.25866,0.31424,0.27292,0.86057,1,1,0.995,0.995,1,1,0.995,0.995,0.23094,0.06279,0.28984,0.17836,0.62428,0.0014258,0.0014258,0.0014258
31,427.969,0.28221,0.31765,0.29455,0.28183,0.86961,1,1,0.995,0.96234,1,1,0.995,0.995,0.30524,0.13199,0.27086,0.15579,0.6155,0.001406,0.001406,0.001406
