epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.617,0.55749,8.98007,0.5667,0.61538,1.08577,0.99986,1,0.995,0.94765,0,0,0,0,0.37284,7.1458,0.26725,0.26837,0.90261,0.000665336,0.000665336,0.000665336
2,314.419,0.31715,5.77102,0.45788,0.29681,0.9185,0.99987,1,0.995,0.995,0.99987,1,0.995,0.40329,0.17621,2.81807,0.30338,0.17378,0.71144,0.00131882,0.00131882,0.00131882
3,470.46,0.3123,4.39726,0.42612,0.28292,0.90882,0.99987,1,0.995,0.995,0.99987,1,0.995,0.68464,0.19223,1.86142,0.28432,0.1921,0.73307,0.0019591,0.0019591,0.0019591
4,629.338,0.29595,3.40537,0.41657,0.27411,0.89683,0.99987,1,0.995,0.995,0.99987,1,0.995,0.72801,0.18583,1.51181,0.31666,0.21236,0.71628,0.0019406,0.0019406,0.0019406
5,789.524,0.27733,3.24026,0.39543,0.25189,0.88731,0.99987,1,0.995,0.995,0.99987,1,0.995,0.75742,0.12707,1.75494,0.26575,0.14351,0.68832,0.0019208,0.0019208,0.0019208
6,947.741,0.24768,2.52183,0.38994,0.23942,0.8795,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88179,0.16987,0.91772,0.27893,0.23352,0.68621,0.001901,0.001901,0.001901
7,1106.95,0.2448,2.23839,0.3684,0.2302,0.87659,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88084,0.14541,0.98107,0.2468,0.18097,0.66963,0.0018812,0.0018812,0.0018812
8,1267.57,0.24688,1.97779,0.35788,0.23129,0.87853,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8906,0.13774,1.0897,0.24367,0.17513,0.68579,0.0018614,0.0018614,0.0018614
9,1429.89,0.22818,1.73016,0.3312,0.21865,0.86818,0.99986,1,0.995,0.995,0.99986,1,0.995,0.87211,0.11905,0.76209,0.18682,0.12155,0.66616,0.0018416,0.0018416,0.0018416
10,1587.96,0.21419,1.77908,0.30923,0.20882,0.86922,0.99987,1,0.995,0.995,0.99987,1,0.995,0.87312,0.12139,0.82213,0.16752,0.10254,0.68789,0.0018218,0.0018218,0.0018218
11,1747.42,0.20705,1.62391,0.29281,0.20795,0.86326,1,1,0.995,0.995,1,1,0.995,0.8955,0.13098,0.64515,0.15409,0.09738,0.66326,0.001802,0.001802,0.001802
12,1904.56,0.20489,1.59086,0.27462,0.20092,0.86195,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88702,0.09367,0.80144,0.11599,0.09641,0.65883,0.0017822,0.0017822,0.0017822
13,2065.63,0.19502,1.48095,0.26408,0.19639,0.86294,0.99988,1,0.995,0.995,0.99988,1,0.995,0.8966,0.10788,0.63948,0.1297,0.08404,0.66461,0.0017624,0.0017624,0.0017624
14,2223.76,0.19542,1.45459,0.2446,0.19431,0.86074,0.99987,1,0.995,0.995,0.99987,1,0.995,0.89546,0.12133,0.72724,0.10812,0.11979,0.66386,0.0017426,0.0017426,0.0017426
15,2385.95,0.1934,1.38904,0.23194,0.18847,0.85959,1,1,0.995,0.995,1,1,0.995,0.8955,0.07645,0.6752,0.10662,0.06481,0.6571,0.0017228,0.0017228,0.0017228
16,2544.67,0.17609,1.3473,0.2126,0.18348,0.85295,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8955,0.06633,0.81896,0.1032,0.09557,0.64975,0.001703,0.001703,0.001703
17,2704.82,0.16998,1.27572,0.20106,0.18034,0.85403,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8955,0.09673,0.64686,0.08309,0.10516,0.66502,0.0016832,0.0016832,0.0016832
18,2867.85,0.17198,1.32876,0.19876,0.17882,0.85982,0.99987,1,0.995,0.995,0.99987,1,0.995,0.89474,0.08273,0.68419,0.09025,0.13406,0.65701,0.0016634,0.0016634,0.0016634
19,3029.23,0.17283,1.23106,0.18601,0.17506,0.85357,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8955,0.12796,0.62404,0.06988,0.12987,0.66306,0.0016436,0.0016436,0.0016436
20,3191.24,0.17091,1.14439,0.18028,0.17144,0.85458,0.99987,1,0.995,0.995,0.99987,1,0.995,0.9791,0.08379,0.60297,0.07265,0.09978,0.65972,0.0016238,0.0016238,0.0016238
21,3353.42,0.17107,1.13218,0.17058,0.17633,0.85406,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8955,0.08041,0.63245,0.06312,0.1452,0.6623,0.001604,0.001604,0.001604
22,3517.07,0.15958,1.17053,0.16678,0.168,0.85057,1,1,0.995,0.995,1,1,0.995,0.8955,0.09152,0.63539,0.07506,0.08687,0.65993,0.0015842,0.0015842,0.0015842
23,3678.59,0.15586,1.05375,0.15497,0.16471,0.84991,1,1,0.995,0.995,1,1,0.995,0.90245,0.07495,0.57855,0.06526,0.11604,0.65359,0.0015644,0.0015644,0.0015644
24,3839.66,0.1503,1.10177,0.14946,0.16053,0.85028,1,1,0.995,0.995,1,1,0.995,0.8947,0.09319,0.74789,0.07179,0.10151,0.65545,0.0015446,0.0015446,0.0015446
25,4005.63,0.14663,1.09355,0.14395,0.15513,0.84718,1,1,0.995,0.995,1,1,0.995,0.8955,0.12093,0.63518,0.06475,0.08785,0.66447,0.0015248,0.0015248,0.0015248
26,4169.63,0.14427,1.03676,0.1395,0.15506,0.8437,1,1,0.995,0.995,1,1,0.995,0.8955,0.05857,0.62044,0.06462,0.174,0.64686,0.001505,0.001505,0.001505
