epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7912,1.83184,11.721,0.69677,2.41999,2.05168,0.99819,1,0.995,0.71234,0,0,0,0,1.02411,11.8984,0.68129,1.39911,1.71482,0.0005,0.0005,0.0005
2,93.7518,0.91689,11.5749,0.66087,0.83166,1.26127,0.99844,1,0.995,0.77051,0,0,0,0,0.84907,11.4488,0.59361,1.69287,1.30734,0.00096951,0.00096951,0.00096951
3,138.57,0.68552,11.0761,0.63602,0.58694,1.13827,0.99868,1,0.995,0.79637,0,0,0,0,0.8755,10.9078,0.55139,0.79391,1.41852,0.00138754,0.00138754,0.00138754
4,180.916,0.70378,11.0824,0.63872,0.63191,1.12784,0.99862,1,0.995,0.6814,0,0,0,0,1.28886,11.4566,0.45022,1.38482,2.07742,0.001703,0.001703,0.001703
5,220.424,0.66355,10.8606,0.61224,0.55285,1.12046,0.98377,1,0.995,0.82449,0,0,0,0,0.83739,11.4402,0.40351,0.83196,1.1699,0.001604,0.001604,0.001604
6,261.067,0.68222,10.8027,0.60834,0.52285,1.06002,0.99868,1,0.995,0.8775,0,0,0,0,0.64163,11.3184,0.35684,0.44606,1.21813,0.001505,0.001505,0.001505
7,312.074,0.6659,10.5953,0.60583,0.53355,1.05532,0.99871,1,0.995,0.796,0,0,0,0,0.9533,11.5233,0.3313,0.59635,1.67598,0.001406,0.001406,0.001406
8,359.15,0.55828,10.268,0.58485,0.4927,1.01165,0.99866,1,0.995,0.81813,0,0,0,0,0.5292,10.8742,0.36595,0.67963,1.02693,0.001307,0.001307,0.001307
9,407.127,0.53313,9.95467,0.58028,0.47018,1.01047,0.99857,1,0.995,0.8955,0,0,0,0,0.58587,9.41227,0.36295,0.48026,0.94947,0.001208,0.001208,0.001208
10,449.605,0.45708,9.53146,0.57585,0.42621,0.95626,0.99852,1,0.995,0.85884,0,0,0,0,0.70681,9.08904,0.37478,0.51398,1.05713,0.001109,0.001109,0.001109
11,502.421,0.39548,8.98942,0.40055,0.36297,0.98736,0.99855,1,0.995,0.89665,0,0,0,0,0.4513,9.33088,0.34244,0.34054,0.93827,0.00101,0.00101,0.00101
12,550.742,0.44312,8.75366,0.39289,0.38053,1.04279,0.99863,1,0.995,0.995,0,0,0,0,0.41514,8.73827,0.32612,0.42883,0.89778,0.000911,0.000911,0.000911
13,598.246,0.39786,8.60112,0.37809,0.35634,1.00055,0.99863,1,0.995,0.8955,0,0,0,0,0.66243,8.38336,0.33222,0.47525,1.0326,0.000812,0.000812,0.000812
14,646.72,0.36358,8.03598,0.34417,0.33317,0.97901,0.99841,1,0.995,0.8955,0,0,0,0,0.57353,7.59325,0.33248,0.33874,0.91796,0.000713,0.000713,0.000713
15,698.668,0.35573,7.8893,0.36105,0.33765,0.96788,0.9985,1,0.995,0.90547,0,0,0,0,0.33031,7.79548,0.2738,0.30727,0.82195,0.000614,0.000614,0.000614
16,747.691,0.30905,7.7262,0.33873,0.30593,0.94395,0.99853,1,0.995,0.995,0,0,0,0,0.20961,7.41807,0.26963,0.21895,0.78548,0.000515,0.000515,0.000515
17,795.372,0.27816,7.33384,0.33437,0.27549,0.93103,0.99863,1,0.995,0.995,0,0,0,0,0.21065,7.3808,0.25679,0.22024,0.7912,0.000416,0.000416,0.000416
18,802.119,0.25011,7.40716,0.32861,0.25558,0.8814,0.99865,1,0.995,0.995,0,0,0,0,0.22598,7.33014,0.2534,0.19964,0.79266,0.000317,0.000317,0.000317
19,808.534,0.24142,7.045,0.31179,0.24931,0.89715,0.99865,1,0.995,0.995,0,0,0,0,0.21372,7.0246,0.26348,0.15459,0.78167,0.000218,0.000218,0.000218
20,815.16,0.23046,7.06709,0.31847,0.24406,0.90717,0.99867,1,0.995,0.995,0,0,0,0,0.22113,7.02757,0.26442,0.13715,0.79636,0.000119,0.000119,0.000119
