epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3266,1.29214,11.2325,0.68091,1.31863,1.62,0.99916,1,0.995,0.6823,0,0,0,0,1.2132,10.841,0.55928,1.40748,1.55928,0.000654321,0.000654321,0.000654321
2,60.2667,0.80965,9.99526,0.60617,0.52397,1.19124,0.99935,1,0.995,0.86513,0,0,0,0,0.60419,10.3383,0.31012,0.53105,1.06561,0.00130791,0.00130791,0.00130791
3,92.0454,0.7982,9.217,0.56257,0.49574,1.18158,0.99932,1,0.995,0.86626,0,0,0,0,0.68041,9.70414,0.24976,0.39243,1.23488,0.0019483,0.0019483,0.0019483
4,124.518,0.75905,8.63658,0.5223,0.48733,1.15586,0.9995,1,0.995,0.78141,0,0,0,0,0.96931,8.16432,0.34273,0.41024,1.29793,0.0019406,0.0019406,0.0019406
5,157.554,0.63462,7.90721,0.4877,0.42728,1.08321,0.99945,1,0.995,0.84431,0.18511,0.18519,0.05043,0.00504,0.73878,6.09969,0.32597,0.35418,1.02689,0.0019208,0.0019208,0.0019208
6,190.51,0.68377,7.32659,0.48673,0.43755,1.09922,0.9993,1,0.995,0.78044,0,0,0,0,0.94981,6.26313,0.30396,0.47204,1.27707,0.001901,0.001901,0.001901
7,224.961,0.67439,6.62536,0.46692,0.43076,1.11044,0.99948,1,0.995,0.85043,0.37173,0.37037,0.387,0.15339,0.76914,4.55525,0.33732,0.39499,1.05533,0.0018812,0.0018812,0.0018812
8,259.063,0.62248,6.12019,0.46999,0.42246,1.07779,0.99948,1,0.995,0.83783,0.99948,1,0.995,0.23028,0.68298,3.65974,0.38072,0.50552,1.02896,0.0018614,0.0018614,0.0018614
9,293.48,0.57723,5.63833,0.47133,0.39136,1.04334,0.9995,1,0.995,0.91081,0.9995,1,0.995,0.49417,0.51298,2.70111,0.36947,0.34409,0.89529,0.0018416,0.0018416,0.0018416
10,328.802,0.58419,5.14796,0.4591,0.39455,1.05555,0.99951,1,0.995,0.87606,0.92547,0.92593,0.90142,0.35886,0.63672,2.86926,0.35404,0.38867,1.02052,0.0018218,0.0018218,0.0018218
