epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5462,1.26323,11.6442,0.68533,1.73542,1.59833,0.99871,1,0.995,0.86505,0,0,0,0,0.59438,11.7474,0.64982,1.22026,0.91572,0.000652778,0.000652778,0.000652778
2,36.5804,0.56961,10.7621,0.63835,0.49939,1.05557,0.98017,1,0.995,0.8962,0,0,0,0,0.40908,11.6044,0.48627,1.13846,0.91952,0.00130638,0.00130638,0.00130638
3,54.0753,0.55079,10.414,0.61906,0.4759,1.03479,0.99782,1,0.995,0.89561,0,0,0,0,0.58183,11.6124,0.35112,0.85781,1.07101,0.00194679,0.00194679,0.00194679
4,70.4401,0.56076,10.4154,0.57379,0.49922,1.02196,0.99915,1,0.995,0.96878,0,0,0,0,0.38215,11.447,0.28941,0.54158,0.81955,0.0019406,0.0019406,0.0019406
5,87.5708,0.51311,9.92213,0.55232,0.46248,1.03287,0.9992,1,0.995,0.8631,0,0,0,0,0.68017,9.98305,0.32199,0.58418,1.0649,0.0019208,0.0019208,0.0019208
6,103.487,0.46745,9.49839,0.53943,0.41479,0.991,0.99919,1,0.995,0.98824,0,0,0,0,0.41808,9.05875,0.34894,0.29672,0.86573,0.001901,0.001901,0.001901
7,120.303,0.44684,9.17451,0.52384,0.38751,0.97829,0.9992,1,0.995,0.9378,0,0,0,0,0.29144,9.58099,0.30615,0.24544,0.75463,0.0018812,0.0018812,0.0018812
8,136.132,0.43968,8.62108,0.52364,0.3988,0.99522,0.99917,1,0.995,0.96774,0,0,0,0,0.33168,7.94241,0.35965,0.33857,0.80693,0.0018614,0.0018614,0.0018614
9,152.986,0.36507,8.11046,0.50558,0.36104,0.95262,0.99918,1,0.995,0.995,0,0,0,0,0.26673,7.44592,0.3557,0.27559,0.7665,0.0018416,0.0018416,0.0018416
10,168.833,0.35375,8.04411,0.51884,0.35368,0.93798,0.99921,1,0.995,0.995,0,0,0,0,0.23235,8.20529,0.33474,0.21323,0.69915,0.0018218,0.0018218,0.0018218
11,185.804,0.33535,7.60804,0.49023,0.32428,0.92952,0.9992,1,0.995,0.995,0.45418,0.45455,0.23685,0.02368,0.29602,6.39293,0.34206,0.29995,0.76341,0.001802,0.001802,0.001802
12,204.195,0.34909,7.11566,0.48266,0.3247,0.94876,0.99917,1,0.995,0.995,0,0,0,0,0.1447,5.95977,0.37381,0.20187,0.69689,0.0017822,0.0017822,0.0017822
13,222.154,0.31596,6.65086,0.48375,0.30542,0.91206,0.99915,1,0.995,0.995,0.03028,0.0303,0.01165,0.00349,0.26372,5.30151,0.3532,0.24898,0.73252,0.0017624,0.0017624,0.0017624
14,240.842,0.34118,6.56812,0.48365,0.32746,0.92179,0.99907,1,0.995,0.995,0.30278,0.30303,0.17445,0.01744,0.17533,5.37293,0.352,0.26236,0.69719,0.0017426,0.0017426,0.0017426
15,257.471,0.34879,6.69311,0.47531,0.31666,0.91419,0.99918,1,0.995,0.995,0,0,0,0,0.19998,6.26067,0.35853,0.24649,0.71616,0.0017228,0.0017228,0.0017228
16,273.793,0.30467,6.51128,0.47453,0.29875,0.90938,0.99917,1,0.995,0.995,0,0,0,0,0.19813,5.3746,0.33692,0.24449,0.70893,0.001703,0.001703,0.001703
17,288.968,0.3059,6.00096,0.47103,0.30129,0.92289,0.99917,1,0.995,0.995,0.18168,0.18182,0.07329,0.00733,0.28507,4.69933,0.34649,0.21377,0.72878,0.0016832,0.0016832,0.0016832
18,305.432,0.31627,5.94354,0.47758,0.29905,0.9112,1,1,0.995,0.995,0.18182,0.18182,0.12047,0.01205,0.12769,3.68816,0.37387,0.17201,0.67464,0.0016634,0.0016634,0.0016634
